,name,ra,dec,semimaj_arcsec,axial_ratio,pos_angle,global_flag,GALEX_FUV,GALEX_FUV_err,GALEX_FUV_flag,GALEX_NUV,GALEX_NUV_err,GALEX_NUV_flag,SDSS_u,SDSS_u_err,SDSS_u_flag,SDSS_g,SDSS_g_err,SDSS_g_flag,SDSS_r,SDSS_r_err,SDSS_r_flag,SDSS_i,SDSS_i_err,SDSS_i_flag,SDSS_z,SDSS_z_err,SDSS_z_flag,2MASS_J,2MASS_J_err,2MASS_J_flag,2MASS_H,2MASS_H_err,2MASS_H_flag,2MASS_Ks,2MASS_Ks_err,2MASS_Ks_flag,WISE_3.4,WISE_3.4_err,WISE_3.4_flag,WISE_4.6,WISE_4.6_err,WISE_4.6_flag,WISE_12,WISE_12_err,WISE_12_flag,WISE_22,WISE_22_err,WISE_22_flag,Spitzer_3.6,Spitzer_3.6_err,Spitzer_3.6_flag,Spitzer_4.5,Spitzer_4.5_err,Spitzer_4.5_flag,Spitzer_5.8,Spitzer_5.8_err,Spitzer_5.8_flag,Spitzer_8.0,Spitzer_8.0_err,Spitzer_8.0_flag,Spitzer_24,Spitzer_24_err,Spitzer_24_flag,Spitzer_70,Spitzer_70_err,Spitzer_70_flag,Spitzer_160,Spitzer_160_err,Spitzer_160_flag,PACS_70,PACS_70_err,PACS_70_flag,PACS_100,PACS_100_err,PACS_100_flag,PACS_160,PACS_160_err,PACS_160_flag,SPIRE_250,SPIRE_250_err,SPIRE_250_flag,SPIRE_350,SPIRE_350_err,SPIRE_350_flag,SPIRE_500,SPIRE_500_err,SPIRE_500_flag,objname,ra2000,de2000,t,t_err,type,logd25,d25,bt,incl,ned_v_helio,ned_v_corr,ned_dist_z_corr,ned_dist_0,hyperleda_v_helio,hyperleda_dist_z_helio,hyperleda_dist_0,dist
0,IC0010,5.09625,59.2931,542.4058237119999,1.18592809604,-2.62233773799,,,,,82.6366512013,332.637806656,,,,,,,,,,,,,,,,,12.0442547577,0.493812484791,,9.52168604983,1.54528914712,,7.530811034419999,0.53471608572,,3.93563423666,0.1528391952724919,,2.15783527166,0.08802205424615134,,2.08734481305,2.6777937413028563,,10.959634731400001,2.0546463650987143,,2.52990157723,0.2181480737783024,N,1.43788420073,0.1843767689012076,N,2.29768707635,0.08711087975905157,N,3.84308686244,0.05866272248183215,N,6.786299327030001,0.20855029225340824,N,,,,,,,150.750806222,12.254157697854598,,216.04574339799998,33.93428931557571,,214.645823529,117.81279939123121,,110.582864955,58.770174903270856,,52.92695254,40.314402699407594,,21.0823917397,14.030629710577454,,IC0010,5.09625,59.2931,9.9,0.6,IB,1.82,6.606935278,11.78,31.1,-348.0,-69.0,-0.942108138,0.88,-345,,0.794328409,0.794328409
1,NGC0337,14.95875,-7.5781800000000015,192.029411895,1.59428844273,28.5481334251,,0.0103149912666,0.000470361682879,,0.0196708369916,0.0005445614712059999,,,,,,,,,,,,,,,,,0.192691525568,0.022745829126400004,,0.209637125553,0.0546091405913,,0.17945713459100002,0.0322274440553,,0.0956213908852,0.002834892187492473,,0.0586825042297,0.004667956066879957,,0.324652288776,0.02962918435451716,,0.757255330088,0.04152369738201317,,0.102465019464,0.001229148457374952,N,0.0720550298875,0.0008297647999057395,N,0.155314998309,0.0027487134673898988,N,0.382471240011,0.003221122554711609,N,0.7769421104369999,0.016065927579905437,,,,,,,,13.8973278909,0.7353974875898008,,21.2804846925,0.8054929973379724,,20.2385402653,0.7895529575907604,,9.18501163419,1.0691470555824143,,4.22254155886,0.5062447397870702,,1.63657161574,0.1794358668550012,,NGC0337,14.95875,-7.5781800000000015,6.7,0.8,SBcd,1.47,2.951209421,12.01,50.6,1646.0,1624.0,22.17367559,20.79,1649,22.51501912,18.1969982,18.1969982
2,NGC0450,18.87675,-0.86092,157.132259085,1.4234063900999998,-21.1338141098,c,0.00865237988494,0.00039398236577,c,0.0119439743719,0.000345149948509,c,0.0217078569326,0.00084441163812,c,0.0469989724132,0.0012830887827,c,0.0648596897851,0.00215313855622,c,0.07559434565239999,0.00264898786656,c,0.07885371039860001,0.00395667285223,c,0.0918460225879,0.0542599166931,c,0.146766794714,0.19347591984,c,0.06884244918110001,0.0548974420822,c,0.0509486641494,0.0026376563516980426,,0.029917412288000007,0.005152319045729228,,0.128537609507,0.007975685012649955,,0.323658417067,0.013471464693140865,,0.049462219843,0.0014009727371818931,N,0.0313495953878,0.001223126571030716,N,,,,0.112233787286,0.0013008669519951456,N,0.33507103749,0.008095066424515917,,3.31441304046,0.19483080345169496,N,7.93102147403,8.725771887276977e-07,N,2.88886438057,0.8156452046011777,,5.42563534382,0.6848143401068627,,6.6067473456400005,0.44743836327511743,,4.0393222827,0.22439557651241496,,1.9899352316,0.15400620988539415,,0.86531054116,0.09199920020366838,,NGC0450,18.87675,-0.86092,5.8,0.5,SABc,1.47,2.951209421,12.8,49.8,1761.0,1729.0,23.60731841,18.59,1774,24.22173676,17.4582065,17.4582065
3,NGC0584,22.8363,-6.86805,242.55734043799998,1.20620396433,-5.2992692662300005,,0.000620234082816,8.87556266089e-05,,0.00207356470212,0.000142392024872,,0.035421674244,0.00302621058873,,0.171536679132,0.00173911983459,,0.339973109704,0.0037978948659,,0.4906976437,0.00634721937427,,0.607242404617,0.00688277507411,,0.975329327066,0.0331446705643,,1.1462337512,0.0703051140165,,0.811727500151,0.0362578155549,,0.403613053104,0.00454906933975033,,0.208154007393,0.00537718811434375,,0.0974543630278,0.01012156675550642,,0.0214777364194,0.032945866960103716,,,,,,,,,,,,,,0.0884509616263,0.014618429319274527,,,,,,,,6.13573861161,1.366585064587408,,5.69121733286,1.8476001888515672,,2.89312645523,0.8941225690247384,,0.783376931425,0.3632345478526772,,0.353564684429,0.29429475161630697,,0.102643637381,0.10938221824535414,,NGC0584,22.8363,-6.86805,-4.7,0.9,E,1.58,3.801894339,11.33,82.8,1802.0,1756.0,23.97596942,19.09,1850,25.25942108,19.95263191,19.95263191
4,NGC0586,22.90365,-6.89375,109.372011226,1.4055817217299995,73.3803804195,,0.000231760341509,2.85809916069e-05,,0.000509059212112,5.40902586425e-05,,0.00392603960904,0.0015097317125099998,,0.0151392037091,0.000316272035455,,0.0291873448956,0.0005940528073930001,,0.041518222413,0.00113862523517,,0.05205608902419999,0.0025821598079,,0.07471931773610001,0.006738838627300001,,0.104850176764,0.025600195901900002,,0.0679407748768,0.016460323138999998,,0.0348654185927,0.0010434215765998134,,0.019238469067400003,0.0015307008710265886,,0.0286973456306,0.003136760610117433,,0.0369323313231,0.006769217188667642,,,,,,,,,,,,,,0.0285537438096,0.00622390411074801,,,,,,,,0.50593567834,0.8117888699105101,,0.83713108766,0.5130612494181918,,1.59612330131,0.1656603843617285,,0.933594589222,0.09976588701522307,,0.430023547064,0.08015404036650338,,0.143357722642,0.04406212586079518,,NGC0586,22.90365,-6.89375,0.7,1.0,Sa,1.21,1.62181024,14.08,68.7,1875.0,1826.0,24.93173129,,1868,25.50518842,,24.93173129
5,NGC0625,23.77125,-41.43676,440.199555752,2.7658513367000004,5.650754450140001,,0.0110693799613,0.000564991026559,,0.016744727291000003,0.0005036337462300001,,,,,,,,,,,,,,,,,0.251853166666,0.143134764384,,0.248260437921,0.446149292823,,0.38208398632,0.267562074575,,0.134648188563,0.005678467536916117,,0.07630720336760001,0.006169301226324823,,0.22686323772,0.01859502415365425,,0.857196358078,0.05166698720017565,,0.133014155847,0.005635414890605938,N,0.0867069781731,0.003380744351985614,N,0.07055774415589999,0.005657462601511348,N,0.153246928472,0.004304316025887554,N,0.899906484573,0.008383491910093317,N,6.92173149322,0.6294858792882709,N,8.78989644311,,N,6.18696415357,1.4135621766888695,,11.4336038106,1.3512031117474828,,9.7587852343,0.9680747605637566,,4.43624874107,0.20110610924886735,,2.41370728604,0.169222248485086,,0.8804095494259999,0.10064259411073108,,NGC0625,23.77125,-41.43676,9.0,1.4,SBm,1.82,6.606935278,11.64,90.0,396.0,325.0,4.437465866,3.75,389,5.311305298,3.999449676,3.999449676
6,NGC0855,33.51495,27.87685,152.89086729299999,1.8045129858,-19.4548190883,,0.0014385339389100002,7.76120677356e-05,,0.00296312625028,0.000118232584939,,0.0109610624151,0.0028394916685100004,,0.0329870620982,0.00169683650253,,0.053824183277699986,0.0012563815813,,0.06950541890489999,0.00231609579428,,0.0797192605606,0.0047429716562,,0.098284175031,0.016946928275899997,,0.148865706539,0.0834801271696,,0.111307317707,0.0336257122992,,0.0442287114283,0.002111221251850893,,0.0236125260359,0.002894072467083681,,0.039315023708300006,0.005659979223853643,,0.107509791393,0.013342705175564528,,0.0445030094494,0.0012749681661119534,,0.029681669479,0.0007582265686481957,,0.0348129891156,0.004666007204350378,,0.046972302789900014,0.0010485633242634407,,0.0823800959654,0.004384566495643964,,,,,,,,1.86254174206,0.34959395887038675,,2.72888616282,0.651192077221864,,2.10208465542,0.44537888795935016,,1.09584075454,0.22177069491197868,,0.473828801652,0.11693367413315885,,0.14740654695699998,0.07477879952063841,,NGC0855,33.51495,27.87685,-4.8,0.7,E,1.47,2.951209421,13.28,90.0,592.0,693.0,9.462042599999998,9.28,592,8.083014746,9.638294808,9.638294808
7,NGC0895,35.40195,-5.52139,195.872540876,1.56005867692,24.6103256537,,0.00797601577753,0.00036005567384800015,,0.0110779572731,0.000304727260329,,0.0242023343857,0.00403052433261,,0.0625829871538,0.00143703132873,,0.0930931191106,0.0014207503689400002,,0.11609269288,0.004607384658600001,,0.129430042494,0.00393836331699,,0.1878597284,0.027740700592900003,,0.33539108987300004,0.112366132145,,0.209207351311,0.041902617142300015,,0.0772175355166,0.0019182689248146,,0.042461541720699984,0.0011802053923482476,,0.186789049525,0.003824556469649357,,0.229799957486,0.01124361440517448,,0.08218175532119999,0.0025293973168279585,,0.0569318162016,0.0018101283867357433,,0.0886626907086,0.007506381106906228,,0.215345059646,0.004052884862630722,,0.183575994241,0.007069724461018653,,1.77901888542,0.04580733100337071,,10.3685912874,0.20124476971350108,,,,,7.09259951116,1.1600706335486763,,10.4286012236,0.9882583609152866,,6.25373362422,0.1952190431565952,,3.17313933228,0.13456065344870285,,1.3185434365000002,0.1027338329818528,,NGC0895,35.40195,-5.52139,6.0,0.3,Sc,1.52,3.311311069,12.3,49.1,2288.0,2207.0,30.13380666,28.57,2288,31.23975969,35.31834428,35.31834428
8,NGC0891,35.6397,42.34712,518.770657784,3.082542843,113.774159494,,0.005069875362649999,0.000621948888129,,0.0152133033896,0.00390818528093,,,,,,,,,,,,,,,,,1.93203370924,0.301595449928,,1.40766759012,2.8219880232,a,2.46209674892,0.940162529436,,1.90262052996,0.014742493459004555,,1.26341020724,0.01596652610814832,,5.34364237171,0.08694797245467792,,6.53616415523,0.09082518292145668,,1.90978893229,0.007958623967382955,,1.34863601942,0.006214211877716051,,2.69747478505,0.018598032728932075,,6.38914701804,0.0190464727284792,N,6.315033370809998,0.012086170364494863,,98.72036174690001,0.3667719974682064,,290.546279932,2.3994726564056967,,120.331370153,1.0435888876228223,,263.762915877,0.7516950361460131,,329.989410017,0.8947807881088402,,167.27706330200002,0.32967674736788205,,71.3755606818,0.2505945248094177,,25.3083107896,0.12761576373975966,,NGC0891,35.6397,42.34712,3.1,0.4,Sb,2.12,13.18256391,10.84,90.0,528.0,689.0,9.407427635,10.09,528,7.209175313999999,9.862793903,9.862793903
9,NGC0925,36.82035,33.579,466.11814673199996,1.91303998106,18.850348913199998,,0.0493138417362,0.00236533592588,,0.0619807135542,0.0020194640994000003,,,,,,,,,,,,,,,,,0.655812987272,0.112301338517,,0.592807259148,0.427491346658,,0.475277575759,0.33181406559500004,,0.30830714401,0.0131727822084288,,0.18095479486,0.015312899965437428,,0.58448970337,0.057406848511463014,,0.8818341308509999,0.1024514433521522,,0.21702376223,0.009149907347617631,,0.19824114165,0.0061773238077121855,,0.104665170169,0.016353000558121233,,0.5273735373640001,0.007652125131359533,,0.790294008802,0.019721685474551203,,,,,,,,15.5926048831,1.8087354832333,,28.0130538256,2.0021656190640305,,38.0397997675,1.9641378827949991,,23.6719576697,0.7912958705836349,,13.296496503800002,0.4325223734529052,,6.03906849325,0.2412644762255149,,NGC0925,36.82035,33.579,7.0,0.3,Scd,2.03,10.71519235,10.59,58.7,553.0,676.0,9.229929001,8.61,554,7.564172582999999,9.204490381,9.204490381
